Name;Identity;Birth place;Publisher;Height;Weight;Gender;First appearance;Eye color;Hair color;Strength;Intelligence
A-Bomb;Richard Milhouse Jones;Scarsdale, Arizona;Marvel Comics;203.21;441.95;M;2008.0;Yellow;No Hair;100.0;moderate
Abraxas;Abraxas;Within Eternity ;Marvel Comics;;;M;N/A;Blue;Black;100.0;high
Abomination;Emil Blonsky;Zagreb, Yugoslavia;Marvel Comics;203.04;441.98;M;N/A;Green;No Hair;80.0;good
Agent 13;Sharon Carter;;Marvel Comics;173.41;61.03;F;N/A;Blue;Blond;N/A;N/A
Air-Walker;Gabriel Lan;Xandar, a planet in the Tranta system, Andromeda galaxy;Marvel Comics;188.59;108.23;M;N/A;Blue;White;85.0;average
Agent Bob;Bob;;Marvel Comics;178.25;81.45;M;2007.0;Brown;Brown;10.0;low
Abe Sapien;Abraham Sapien;;Dark Horse Comics;191.24;65.35;M;1993.0;Blue;No Hair;30.0;high
Animal Man;Bernhard Baker;;DC Comics;183.8;83.39;M;1965.0;Blue;Blond;50.0;average
Agent Zero;Christoph Nord;Unrevealed location in former East Germany ;Marvel Comics;191.29;104.17;M;N/A;;;30.0;good
Angel Dust;Christina;;Marvel Comics;165.78;57.21;F;N/A;Yellow;Black;55.0;moderate
Angel Salvadore;Angel Salvadore Bohusk;;Marvel Comics;163.57;54.67;F;2001.0;Brown;Black;10.0;moderate
Zoom;Hunter Zolomon;;DC Comics;185.9;81.93;M;N/A;Red;Brown;10.0;average
Lady Deathstrike;Yuriko Oyama;Osaka, Japan;Marvel Comics;175.85;58.89;F;1985.0;Brown;Black;30.0;good
Yoda;Yoda;;George Lucas;66.29;17.01;M;1980.0;Brown;White;55.0;high
Zatanna;Zatanna Zatara;;DC Comics;170.29;57.77;F;N/A;Blue;Black;10.0;high
Yellowjacket II;Rita DeMara;;Marvel Comics;165.58;52.36;F;N/A;Blue;Strawberry Blond;10.0;average
Yellowjacket;Hank Pym;Elmsford, New York;Marvel Comics;183.03;83.71;M;N/A;Blue;Blond;10.0;high
Absorbing Man;Carl Creel;New York City, New York;Marvel Comics;193.36;122.28;M;1964.0;Blue;No Hair;80.0;moderate
X-Man;Nate Grey;American Northeast of Earth-295 ;Marvel Comics;175.82;61.8;M;1995.0;Blue;Brown;55.0;high
X-23;Laura Kinney;The Facility, location unrevealed ;Marvel Comics;155.61;50.39;F;N/A;Green;Black;25.0;good
Adam Strange;Adam Strange;Chicago, Illinois;DC Comics;185.1;88.92;M;1986.0;Blue;Blond;10.0;good
Wonder Girl;Cassandra Elizabeth Sandsmark;;DC Comics;165.74;51.33;F;1996.0;Blue;Blond;90.0;good
Wonder Woman;Diana Prince;Themyscira;DC Comics;183.13;74.74;F;1941.0;Blue;Black;100.0;high
Wolverine;Logan;Alberta, Canada;Marvel Comics;160.7;135.21;M;N/A;Blue;Black;35.0;good
Ymir;Ymir;Niffleheim;Marvel Comics;304.63;;M;N/A;White;No Hair;100.0;average
Wiz Kid;Takashi Matsuya;Place of birth unknown;Marvel Comics;140.86;39.64;;N/A;Brown;Black;N/A;N/A
Wolfsbane;Rahne Sinclair;Somewhere in Ross and Cromarty, Scotland;Marvel Comics;366.34;473.76;F;N/A;Green;Auburn;20.0;moderate
White Queen;Emma Grace Frost;Boston, Massachusetts;Marvel Comics;178.87;65.87;F;N/A;Blue;Blond;N/A;N/A
Wyatt Wingfoot;Wyatt Wingfoot;Keewazi Reservation, Oklahoma;Marvel Comics;196.42;117.16;M;N/A;Brown;Black;10.0;low
Weapon XI;Weapon XI;;Marvel Comics;;;M;N/A;;;N/A;N/A
Winter Soldier;Bucky Barnes;;Marvel Comics;175.21;117.21;M;2005.0;Brown;Brown;35.0;average
Watcher;Uatu;;Marvel Comics;;;M;1963.0;;;80.0;high
Wonder Man;Simon Williams;Paterson, New Jersey;Marvel Comics;188.9;171.57;M;N/A;Red;Black;100.0;good
Wasp;Janet Van Dyne;Cresskill, New Jersey;Marvel Comics;163.86;50.04;F;N/A;Blue;Auburn;20.0;good
Warlock;Adam Warlock;The Beehive, Shard Island, Atlantic Ocean;Marvel Comics;188.22;108.14;M;N/A;Red;Blond;40.0;high
Warbird;Carol Danvers;Boston, Massachusetts;Marvel Comics;180.56;54.75;F;N/A;Blue;Blond;N/A;N/A
Wildfire;Drake Burroughs;;DC Comics;;;M;N/A;;;35.0;average
Vulture;Adrian Toomes;Staten Island, New York City ;Marvel Comics;180.61;79.63;M;N/A;Brown;No Hair;25.0;good
Warp;Emil LaSalle;;DC Comics;173.42;67.42;M;1981.0;Brown;Black;10.0;moderate
Warpath;James Proudstar;Camp Verde, Arizona ;Marvel Comics;218.05;158.22;M;1984.0;Brown;Black;75.0;moderate
War Machine;James Rupert Rhodes;Philadelphia, Pennsylvania ;Marvel Comics;185.01;95.93;M;1979.0;Brown;Brown;80.0;good
Vulcan;Gabriel Summers;;Marvel Comics;;;M;N/A;Black;Black;N/A;N/A
Vision II;Vision;Place of birth unknown;Marvel Comics;191.39;135.51;;N/A;Red;No Hair;N/A;N/A
Walrus;Hubert Carpent;Brooklyn, New York;Marvel Comics;183.7;162.03;M;1984.0;Blue;Black;30.0;average
Vision;Vision;;Marvel Comics;191.51;135.95;M;N/A;Gold;No Hair;75.0;high
Violet Parr;Violet Parr;;Dark Horse Comics;137.18;41.13;F;2004.0;Violet;Black;10.0;average
Venompool;Wade Wilson;;Marvel Comics;226.84;;M;2011.0;;;60.0;good
Venom III;MacDonald Gargan;;Marvel Comics;229.39;334.7;M;2005.0;Brown;Brown;75.0;good
Vindicator;Dr. James McDonald Hudson;;Marvel Comics;;;M;N/A;;;N/A;N/A
Venom II;Angelo Fortunato;;Marvel Comics;175.07;50.76;M;2005.0;Brown;Black;60.0;average
Venom;Eddie Brock;New York, New York;Marvel Comics;191.35;117.61;M;N/A;Blue;Strawberry Blond;60.0;good
Vegeta;Vegeta;;Shueisha;168.94;73.24;M;N/A;;Black;100.0;high
Vixen;Mari McCabe;Zambesi;DC Comics;175.71;63.57;F;1981.0;Amber;Black;40.0;average
Valkyrie;Brunnhilde (also spelled Brunnhilda);Presumably Asgard;Marvel Comics;191.63;214.67;F;N/A;Blue;Blond;95.0;high
Vagabond;Priscilla Lyons;;Marvel Comics;169.0;54.62;F;N/A;Blue;Strawberry Blond;N/A;N/A
Ultron;Ultron;Created in Cresskill, New Jersey;Marvel Comics;206.9;331.61;M;1968.0;Red;;85.0;high
Triton;Triton;Island of Attilan, Atlantic Ocean;Marvel Comics;188.35;86.83;M;1965.0;Green;No Hair;65.0;average
Two-Face;Harvey Dent;;DC Comics;183.12;82.87;M;N/A;;;10.0;high
Triplicate Girl;Luornu Durgo;;DC Comics;168.97;59.83;F;N/A;Purple;Brown;10.0;good
Ultragirl;Tsu-Zana;;Marvel Comics;168.27;105.9;F;N/A;Blue;Blond;80.0;average
Tracy Strauss;Tracy Strauss;Beverly Hills, CA;NBC - Heroes;;;F;N/A;;;N/A;N/A
Vindicator;Heather Hudson;Calgary, Alberta, Canada ;Marvel Comics;165.54;54.46;F;1980.0;Green;Red;65.0;good
Toxin;Eddie Brock;San Francisco, California;Marvel Comics;191.57;117.09;M;N/A;Black;Blond;80.0;good
Tinkerer;Phineas Mason;;Marvel Comics;163.96;54.93;M;1963.0;Brown;White;10.0;high
Tigra;Greer Grant Nelson;Presumably Chicago Illinois USA;Marvel Comics;178.04;81.12;F;N/A;Green;Auburn;35.0;good
Vibe;Cisco Ramon;;DC Comics;178.77;71.32;M;N/A;Brown;Black;10.0;average
Thundra;Thundra;;Marvel Comics;218.65;158.89;F;1972.0;Green;Red;85.0;moderate
Thunderstrike;Eric Kevin Masterson;;Marvel Comics;198.42;288.86;M;N/A;Blue;Blond;80.0;good
Toxin;Patrick Mulligan;New York City ;Marvel Comics;188.69;97.56;M;2004.0;Blue;Brown;75.0;average
Thunderbird II;James Proudstar;;Marvel Comics;;;M;N/A;;;N/A;N/A
Thunderbird;John Proudstar;Camp Verde, Arizona ;Marvel Comics;185.12;101.49;M;1975.0;Brown;Black;35.0;average
Thor Girl;Tarene;;Marvel Comics;175.74;143.17;F;N/A;Blue;Blond;85.0;good
Trickster;Giovanni Giuseppe;;DC Comics;183.54;81.37;M;1960.0;Blue;Blond;N/A;N/A
Thing;Ben Grimm;New York City, New York;Marvel Comics;183.55;225.42;M;1961.0;Blue;No Hair;85.0;good
The Comedian;Edward Morgen Blake;;DC Comics;188.41;101.45;M;1986.0;Brown;Black;15.0;good
The Cape;Vince Faraday;;N/A;;;M;2011.0;;;10.0;moderate
Thanos;Thanos;Titan;Marvel Comics;201.26;443.19;M;N/A;Red;No Hair;100.0;high
Tiger Shark;Todd Arliss;Pasadena, California;Marvel Comics;185.25;203.03;M;1968.0;Grey;No Hair;75.0;moderate
Thunderbird III;Neal Shaara;Bangladesh;Marvel Comics;175.86;74.28;M;N/A;Brown;Black;N/A;N/A
Taskmaster;Tony Masters;;Marvel Comics;188.74;99.9;M;N/A;Brown;Brown;15.0;good
Toad;Mortimer Toynbee;York, England ;Marvel Comics;175.32;76.04;M;1964.0;Black;Brown;35.0;average
T-X;Cyberdyne Systems Series X Terminator;;Dark Horse Comics;;149.33;F;N/A;;;65.0;good
T-1000;Cyberdyne Systems Series 1000 Terminator;;Dark Horse Comics;183.33;146.83;M;N/A;;;35.0;good
T-800;Cyberdyne Systems Series 800 Terminator Model 101;;Dark Horse Comics;;176.28;M;1984.0;Red;;35.0;good
T-850;Cyberdyne Systems Series 850 Terminator;;Dark Horse Comics;;198.72;M;2003.0;Red;;80.0;good
Synch;Everett Thomas;;Marvel Comics;180.68;74.0;M;1994.0;Brown;Black;70.0;good
Swarm;Fritz von Meyer;;Marvel Comics;196.71;47.11;M;1977.0;Yellow;No Hair;20.0;good
Thor;Thor Odinson;Asgard;Marvel Comics;198.35;288.61;M;1962.0;Blue;Blond;100.0;good
Swamp Thing;Alec Holland;;DC Comics;;;M;1972.0;Red;No Hair;95.0;high
Supergirl;Kara Zor-El;Argo City, Krypton;DC Comics;165.4;54.8;F;2004.0;Blue;Blond;100.0;high
Superboy-Prime;Kal-El;Krypton (Earth-Prime) ;DC Comics;180.55;77.41;M;1985.0;Blue;Black / Blue;100.0;high
Sylar;Gabriel Gray;;NBC - Heroes;;;M;N/A;;;10.0;good
Tempest;Angel Salvadore Bohusk;;Marvel Comics;163.02;54.36;F;2001.0;Brown;Black;10.0;moderate
Sunspot;Roberto DaCosta;Rio de Janeiro, Brazil ;Marvel Comics;173.58;77.69;M;1982.0;brown;black;65.0;good
Storm;Ororo Munroe;New York, New York;Marvel Comics;180.72;57.5;F;1975.0;Blue;White;10.0;good
Stephanie Powell;Stephanie Powell;;ABC Studios;;;F;2010.0;;Blond;10.0;good
Superman;Clark Kent;Krypton;DC Comics;191.73;101.73;M;N/A;Blue;Black;100.0;high
Starfire;Koriand'r;Tamaran;DC Comics;193.77;71.78;F;1980.0;Green;Auburn;80.0;average
Superboy;Kon-El / Conner Kent;Project Cadmus cloning facility;DC Comics;170.61;68.91;M;1993.0;Blue;Black;95.0;good
Steel;John Irons;Washington, D.C.;DC Comics;201.58;131.13;M;1993.0;Brown;No Hair;85.0;high
Stargirl;Courtney Whitmore;;DC Comics;165.81;62.94;F;1999.0;Blue;Blond;80.0;good
Static;Virgil Hawkins;Paris Island, Dakota City;DC Comics;170.36;63.41;M;1993.0;Brown;Black;10.0;good
Star-Lord;Peter Jason Quill;;Marvel Comics;188.25;79.21;M;1976.0;Blue;Blond;20.0;good
Spock;S'chn T'gai Spock;;Star Trek;185.69;81.1;M;N/A;Brown;Black;20.0;high
Spider-Woman III;Martha Franklin;Rochester, New York ;Marvel Comics;173.47;55.37;F;1998.0;Brown;Brown;50.0;average
Spyke;Evan Daniels;;Marvel Comics;183.01;83.37;M;2000.0;Brown;Blond;15.0;average
Spider-Man;Miles Morales;;Marvel Comics;157.37;56.06;M;2011.0;Brown;Black;N/A;N/A
Spider-Woman IV;Charlotte Witter;;Marvel Comics;178.09;58.78;F;N/A;Red;White;N/A;N/A
Spider-Woman;Jessica Drew;London, England;Marvel Comics;178.02;59.1;F;1977.0;Green;Black;45.0;average
Spider-Man;Miguel O'Hara;;Marvel Comics;178.67;77.27;;1992.0;Red;Brown;N/A;N/A
Spider-Man;Peter Parker;New York, New York;Marvel Comics;178.28;74.25;M;N/A;Hazel;Brown;55.0;high
Spider-Girl;May 'Mayday' Parker;New York City, New York;Marvel Comics;170.98;54.75;F;1998.0;Blue;Brown;40.0;good
Spider-Gwen;Gwen Stacy;;Marvel Comics;165.79;56.59;F;N/A;Blue;Blond;55.0;good
Speedball;Robert Baldwin;Springdale, Connecticut;Marvel Comics;;;M;N/A;;;N/A;N/A
Spider-Carnage;Benjamin Reilly;;Marvel Comics;;;M;N/A;;;N/A;N/A
Speedy;Thea Queen;Starling City;DC Comics;;;F;N/A;Green;Brown;10.0;average
Speedy;Roy William Harper, Jr.;;DC Comics;;;M;N/A;;;N/A;N/A
Spawn;Al Simmons;Detroit, Michigan (8th level of Hell after rebirth);Image Comics;211.5;405.59;M;1992.0;Brown;Black;60.0;good
Space Ghost;Thaddeus Bach;;DC Comics;188.86;113.78;M;1966.0;;;20.0;moderate
Spectre;Aztar;;DC Comics;;;M;1940.0;White;No Hair;100.0;high
Songbird;Melissa Joan Gold;Shoshoni, Wyoming ;Marvel Comics;166.0;65.25;F;N/A;Green;Red / White;40.0;good
Snowbird;Narya;Near Resolute Bay, Northwest Territories, Canada ;Marvel Comics;178.86;49.79;F;N/A;White;Blond;35.0;average
Siryn;Theresa Rourke Cassidy;Cassidy Keep, County Mayo, Ireland ;Marvel Comics;168.85;52.64;F;N/A;Blue;Strawberry Blond;10.0;moderate
Solomon Grundy;Cyrus Gold;Gotham City;DC Comics;279.22;437.61;M;1944.0;Black;White;95.0;low
Sobek;Yurrd the Unknown;"Nile River; Bioengineered at Oolong Island";DC Comics;;;M;N/A;White;No Hair;35.0;average
Siren;Hila;;DC Comics;175.46;72.75;F;1965.0;Blue;Purple;65.0;average
Simon Baz;Simoon Baz;Dearborn, Michigan;DC Comics;;;M;2012.0;Bown;Black;90.0;average
Siren II;La Sirene la Bailene;Atlantis;DC Comics;;;F;1999.0;Black;;N/A;N/A
Silver Surfer;Norrin Radd;Zenn-La;Marvel Comics;193.01;101.34;M;N/A;White;No Hair;100.0;average
Silk Spectre II;Laurie Juspeczyk;;DC Comics;;;F;N/A;;;55.0;high
Silk Spectre;Sally Juspeczyk;;DC Comics;;;F;N/A;;;N/A;N/A
Silverclaw;Maria de Guadalupe Santiago;The village of Kamekeri, Costa Verde ;Marvel Comics;157.8;50.22;F;1998.0;Brown;Black;30.0;average
Sif;Sif;;Marvel Comics;188.8;191.83;F;1964.0;Blue;Black;90.0;good
Shriek;Frances Louise Barrison;;Marvel Comics;173.95;52.83;F;N/A;Yellow / Blue;Black;10.0;average
Sinestro;Thaal Sinestro;Korugar City, Korugar;DC Comics;201.14;92.64;M;N/A;Black;Black;85.0;good
Shazam;Billy Batson;Fawcett City, United States;DC Comics;193.74;101.3;M;1940.0;Blue;Black;100.0;high
Shatterstar;Gaveedra Seven;Mojoworld;Marvel Comics;191.57;88.93;M;N/A;Brown;Red;50.0;good
She-Thing;Sharon Ventura;;Marvel Comics;183.89;153.41;F;N/A;Blue;No Hair;75.0;good
Shadowcat;Kitty Pryde;Deerfield, Illinois;Marvel Comics;168.63;50.4;F;1980.0;Hazel;Brown;10.0;high
